person_id,from_date,to_date,store_id
665917,2017-06-02,2021-04-30,1
665917,2023-07-01,2024-03-31,1
665917,2021-05-01,2023-06-30,1
665919,2008-10-01,2023-09-30,1
665922,2008-10-01,,1
665929,2021-11-15,2022-01-23,1
665935,2022-05-01,2023-03-31,1
665935,2008-10-01,2022-04-30,1
665935,2023-07-01,,1
665935,2023-04-01,2023-06-30,1
665936,2015-04-11,,1
665937,2021-09-17,2022-01-23,1
665938,2008-10-01,,1
665939,2013-07-15,2023-06-30,1
665939,2023-07-01,,1
665941,2008-10-13,,1
665945,2008-10-01,,1
665946,2019-06-18,2023-09-30,1
665946,2019-06-01,2019-06-12,1
665948,2008-10-01,,1
665949,2021-08-11,2022-01-23,1
665950,2016-11-10,2020-03-17,1
665950,2021-03-19,,1
665951,2021-11-11,2022-01-15,1
665952,2008-10-01,,1
665953,2009-04-02,,1
665954,2020-10-01,,1
665954,2019-07-15,2020-03-17,1
665954,2019-03-09,2019-06-26,1
665954,2023-12-04,2023-12-24,1
665955,2021-08-01,2021-12-31,1
665958,2018-10-29,2019-01-28,1
665958,2021-06-16,2021-11-02,1
665958,2021-04-16,2021-06-15,1
665958,2021-11-22,2022-02-08,1
665958,2022-02-09,,1
665959,2022-05-01,2023-03-31,1
665959,2008-11-19,2022-04-30,1
665959,2023-07-01,,1
665959,2023-04-01,2023-06-30,1
665961,2018-09-30,2023-10-09,1
665961,2024-04-12,,1
665962,2021-09-06,2022-01-16,1
665966,2021-06-30,2021-12-29,1
665970,2008-10-01,2023-06-14,1
665971,2008-10-01,,1
665972,2014-10-06,2023-06-29,1
665977,2021-08-27,2022-01-26,1
665983,2014-10-10,,1
665986,2008-10-01,,1
665987,2021-12-01,,1
665987,2018-03-22,2021-11-30,1
665988,2021-11-08,2022-01-16,1
665989,2015-01-08,,1
665990,2021-10-14,2021-12-13,1
665991,2021-11-22,2022-01-23,1
665992,2008-10-01,2019-05-06,1
665992,2020-09-01,2022-06-21,1
665993,2021-08-23,2022-01-23,1
666001,2009-12-16,,1
876830,2022-03-21,2022-08-05,1
876837,2022-10-31,,1
876837,2022-03-29,2022-09-28,1
876845,2022-03-29,2022-09-28,1
923061,2022-03-01,2022-07-31,1
923063,2022-03-03,2022-06-02,1
933955,2022-03-07,2022-06-06,1
933957,2022-03-04,2022-06-06,1
933958,2022-03-04,2022-09-03,1
933959,2022-03-11,2022-09-10,1
963370,2022-03-29,2022-09-28,1
963370,2022-09-29,2022-10-08,1
963371,2022-03-25,2022-06-24,1
989387,2021-11-11,2022-05-10,1
989388,2022-09-29,,1
989388,2022-03-29,2022-09-28,1
998987,2022-05-02,2022-11-05,1
