,day,person_id,planned_hours,store_id,in_alternate_workplace,absence_type,was_absent,worked_hours
108,2023-11-01,665923,5.0,,False,,False,5.0
163,2023-11-01,665926,4.5,,False,,False,4.5
259,2023-11-01,665934,6.0,,False,,False,6.0
544,2023-11-01,665944,5.0,,False,,False,5.0
867,2023-11-01,665956,6.5,,False,,False,6.5
997,2023-11-01,665965,7.5,2.0,True,,False,7.5
1098,2023-11-01,665978,5.0,,False,,False,5.0
1462,2023-11-01,872680,5.0,,False,Enfermedad común,True,0.0
1678,2023-11-01,1031417,6.5,,False,,False,6.5
1734,2023-11-01,1201829,4.5,2.0,True,,False,4.5
1791,2023-11-01,1211253,4.0,,False,,False,4.0
1840,2023-11-01,1252106,4.0,,False,,False,4.0
2117,2023-11-01,1422334,4.0,2.0,True,,False,4.0
0,2023-11-02,665917,7.5,1.0,True,,False,7.5
53,2023-11-02,665922,4.0,,False,,False,4.0
109,2023-11-02,665923,4.5,,False,,False,4.5
164,2023-11-02,665926,4.5,,False,,False,4.5
260,2023-11-02,665934,4.0,,False,,False,4.0
370,2023-11-02,665936,6.5,,False,,False,6.5
430,2023-11-02,665938,4.0,,False,Enfermedad común,True,0.0
488,2023-11-02,665941,4.0,,False,,False,4.0
545,2023-11-02,665944,4.0,,False,,False,4.0
584,2023-11-02,665948,7.5,,False,,False,7.5
698,2023-11-02,665952,4.5,,False,,False,4.5
809,2023-11-02,665954,5.5,,False,,False,5.5
868,2023-11-02,665956,7.0,,False,,False,7.0
934,2023-11-02,665959,6.5,,False,,False,6.5
1099,2023-11-02,665978,6.0,,False,,False,6.0
1146,2023-11-02,665979,6.5,,False,,False,6.5
1201,2023-11-02,665983,5.5,,False,,False,5.5
1250,2023-11-02,665986,6.5,,False,,False,6.5
1359,2023-11-02,665989,5.5,,False,,False,5.5
1425,2023-11-02,666001,4.0,,False,,False,4.0
1567,2023-11-02,989388,4.5,,False,,False,4.5
1622,2023-11-02,999012,6.5,,False,,False,6.5
1679,2023-11-02,1031417,6.5,,False,,False,6.5
1735,2023-11-02,1201829,7.5,2.0,True,,False,7.5
1841,2023-11-02,1252106,6.5,,False,,False,6.5
1895,2023-11-02,1285300,5.5,1.0,True,,False,5.5
1902,2023-11-02,1305177,4.0,,False,,False,4.0
1955,2023-11-02,1305178,5.0,,False,,False,5.0
2008,2023-11-02,1305180,4.0,1.0,True,,False,4.0
2026,2023-11-02,1397361,7.5,,False,,False,7.5
1,2023-11-03,665917,7.5,1.0,True,,False,7.5
54,2023-11-03,665922,4.5,,False,,False,4.5
110,2023-11-03,665923,4.5,,False,,False,4.5
165,2023-11-03,665926,4.0,,False,,False,4.0
314,2023-11-03,665935,8.0,,False,,False,8.0
371,2023-11-03,665936,5.5,,False,,False,5.5
431,2023-11-03,665938,5.0,,False,Enfermedad común,True,0.0
640,2023-11-03,665950,5.0,,False,,False,5.0
810,2023-11-03,665954,6.5,,False,,False,6.5
869,2023-11-03,665956,6.0,,False,,False,6.0
935,2023-11-03,665959,7.5,,False,,False,7.5
998,2023-11-03,665965,8.0,2.0,True,,False,8.0
1049,2023-11-03,665971,5.0,,False,,False,5.0
1147,2023-11-03,665979,6.5,,False,,False,6.5
1202,2023-11-03,665983,5.0,,False,,False,5.0
1251,2023-11-03,665986,6.5,,False,,False,6.5
1304,2023-11-03,665987,6.5,,False,,False,6.5
1360,2023-11-03,665989,5.5,,False,,False,5.5
1426,2023-11-03,666001,4.0,,False,,False,4.0
1463,2023-11-03,872680,4.5,,False,Enfermedad común,True,0.0
1503,2023-11-03,876837,5.0,,False,,False,5.0
1568,2023-11-03,989388,4.0,,False,,False,4.0
1623,2023-11-03,999012,7.5,,False,,False,7.5
1680,2023-11-03,1031417,7.0,,False,,False,7.0
1736,2023-11-03,1201829,7.5,2.0,True,,False,7.5
1792,2023-11-03,1211253,6.0,,False,,False,6.0
1903,2023-11-03,1305177,4.0,,False,,False,4.0
2009,2023-11-03,1305180,5.0,1.0,True,,False,5.0
2118,2023-11-03,1422334,6.5,2.0,True,,False,6.5
2218,2023-11-03,1661019,5.0,,False,,False,5.0
2246,2023-11-03,1662112,5.0,1.0,True,,False,5.0
2,2023-11-04,665917,8.0,1.0,True,,False,8.0
111,2023-11-04,665923,4.0,,False,,False,4.0
166,2023-11-04,665926,4.0,,False,,False,4.0
261,2023-11-04,665934,5.5,,False,,False,5.5
315,2023-11-04,665935,7.5,,False,,False,7.5
372,2023-11-04,665936,8.0,,False,,False,8.0
432,2023-11-04,665938,6.0,,False,Enfermedad común,True,0.0
489,2023-11-04,665941,7.5,,False,,False,7.5
546,2023-11-04,665944,8.0,,False,,False,8.0
585,2023-11-04,665948,8.0,,False,,False,8.0
641,2023-11-04,665950,4.0,,False,,False,4.0
699,2023-11-04,665952,8.0,,False,,False,8.0
754,2023-11-04,665953,5.5,,False,,False,5.5
811,2023-11-04,665954,6.5,,False,,False,6.5
936,2023-11-04,665959,7.5,,False,,False,7.5
999,2023-11-04,665965,6.5,2.0,True,,False,6.5
1050,2023-11-04,665971,5.0,,False,,False,5.0
1100,2023-11-04,665978,7.5,,False,,False,7.5
1148,2023-11-04,665979,6.5,,False,,False,6.5
1361,2023-11-04,665989,6.0,,False,,False,6.0
1427,2023-11-04,666001,5.0,,False,,False,5.0
1464,2023-11-04,872680,5.0,,False,Enfermedad común,True,0.0
1504,2023-11-04,876837,6.0,,False,,False,6.0
1569,2023-11-04,989388,6.0,,False,,False,6.0
1737,2023-11-04,1201829,7.5,2.0,True,,False,7.5
1793,2023-11-04,1211253,8.0,,False,,False,8.0
1842,2023-11-04,1252106,8.0,,False,,False,8.0
1896,2023-11-04,1285300,5.0,1.0,True,,False,5.0
1956,2023-11-04,1305178,6.0,,False,,False,6.0
2010,2023-11-04,1305180,5.0,1.0,True,,False,5.0
2119,2023-11-04,1422334,7.5,2.0,True,,False,7.5
2219,2023-11-04,1661019,8.0,,False,,False,8.0
2247,2023-11-04,1662112,8.0,1.0,True,,False,8.0
3,2023-11-06,665917,5.0,1.0,True,,False,5.0
55,2023-11-06,665922,4.5,,False,,False,4.5
167,2023-11-06,665926,4.5,,False,,False,4.5
208,2023-11-06,665928,4.0,,False,,False,4.0
262,2023-11-06,665934,4.0,,False,,False,4.0
316,2023-11-06,665935,7.5,,False,,False,7.5
373,2023-11-06,665936,6.5,,False,,False,6.5
433,2023-11-06,665938,4.0,,False,Enfermedad común,True,0.0
547,2023-11-06,665944,4.0,,False,,False,4.0
586,2023-11-06,665948,4.0,,False,,False,4.0
642,2023-11-06,665950,5.0,,False,,False,5.0
700,2023-11-06,665952,5.5,,False,,False,5.5
812,2023-11-06,665954,6.5,,False,,False,6.5
870,2023-11-06,665956,7.5,,False,,False,7.5
937,2023-11-06,665959,7.5,,False,,False,7.5
1051,2023-11-06,665971,5.0,,False,,False,5.0
1101,2023-11-06,665978,4.0,,False,,False,4.0
1149,2023-11-06,665979,6.5,,False,,False,6.5
1252,2023-11-06,665986,4.0,,False,,False,4.0
1305,2023-11-06,665987,6.5,,False,,False,6.5
1362,2023-11-06,665989,5.0,,False,,False,5.0
1428,2023-11-06,666001,5.0,,False,,False,5.0
1465,2023-11-06,872680,4.5,,False,Enfermedad común,True,0.0
1505,2023-11-06,876837,4.0,,False,,False,4.0
1738,2023-11-06,1201829,7.5,2.0,True,,False,7.5
1794,2023-11-06,1211253,4.0,,False,,False,4.0
1843,2023-11-06,1252106,4.0,,False,,False,4.0
1897,2023-11-06,1285300,6.0,1.0,True,,False,6.0
2011,2023-11-06,1305180,4.0,1.0,True,,False,4.0
2027,2023-11-06,1397361,7.5,,False,,False,7.5
2055,2023-11-06,1403169,8.0,,False,,False,8.0
2157,2023-11-06,1529075,7.5,,False,,False,7.5
4,2023-11-07,665917,7.5,1.0,True,,False,7.5
56,2023-11-07,665922,4.0,,False,,False,4.0
112,2023-11-07,665923,4.5,,False,,False,4.5
263,2023-11-07,665934,4.0,,False,,False,4.0
317,2023-11-07,665935,8.0,,False,,False,8.0
374,2023-11-07,665936,6.5,,False,,False,6.5
434,2023-11-07,665938,4.5,,False,Enfermedad común,True,0.0
490,2023-11-07,665941,4.0,,False,,False,4.0
548,2023-11-07,665944,4.0,,False,,False,4.0
643,2023-11-07,665950,5.0,,False,,False,5.0
701,2023-11-07,665952,5.5,,False,,False,5.5
755,2023-11-07,665953,4.0,,False,,False,4.0
871,2023-11-07,665956,7.5,,False,,False,7.5
938,2023-11-07,665959,7.5,,False,,False,7.5
1000,2023-11-07,665965,7.5,2.0,True,,False,7.5
1150,2023-11-07,665979,6.5,,False,,False,6.5
1203,2023-11-07,665983,5.5,,False,,False,5.5
1253,2023-11-07,665986,4.0,,False,,False,4.0
1306,2023-11-07,665987,8.0,,False,,False,8.0
1363,2023-11-07,665989,4.0,,False,,False,4.0
1466,2023-11-07,872680,5.0,,False,Enfermedad común,True,0.0
1506,2023-11-07,876837,4.0,,False,,False,4.0
1624,2023-11-07,999012,4.0,,False,,False,4.0
1739,2023-11-07,1201829,7.5,2.0,True,,False,7.5
1844,2023-11-07,1252106,4.0,,False,,False,4.0
1898,2023-11-07,1285300,6.5,1.0,True,,False,6.5
1904,2023-11-07,1305177,4.0,,False,,False,4.0
1957,2023-11-07,1305178,5.5,,False,,False,5.5
2056,2023-11-07,1403169,4.0,,False,,False,4.0
2120,2023-11-07,1422334,4.0,2.0,True,,False,4.0
2158,2023-11-07,1529075,7.5,,False,,False,7.5
57,2023-11-08,665922,5.0,,False,,False,5.0
113,2023-11-08,665923,4.0,,False,,False,4.0
168,2023-11-08,665926,4.5,,False,,False,4.5
209,2023-11-08,665928,4.0,,False,,False,4.0
264,2023-11-08,665934,4.0,,False,,False,4.0
318,2023-11-08,665935,5.5,,False,,False,5.5
375,2023-11-08,665936,7.5,,False,,False,7.5
435,2023-11-08,665938,4.0,,False,Enfermedad común,True,0.0
587,2023-11-08,665948,6.5,,False,,False,6.5
644,2023-11-08,665950,4.5,,False,,False,4.5
702,2023-11-08,665952,5.0,,False,,False,5.0
756,2023-11-08,665953,4.0,,False,,False,4.0
813,2023-11-08,665954,5.5,,False,,False,5.5
872,2023-11-08,665956,7.5,,False,,False,7.5
