measure;date;value;store_id
FOOTFALL;02/11/2023 10:00;55;1
FOOTFALL;02/11/2023 10:30;55;1
FOOTFALL;02/11/2023 11:00;67;1
FOOTFALL;02/11/2023 11:30;67;1
FOOTFALL;02/11/2023 12:00;56;1
FOOTFALL;02/11/2023 12:30;56;1
FOOTFALL;02/11/2023 13:00;48;1
FOOTFALL;02/11/2023 13:30;48;1
FOOTFALL;02/11/2023 14:00;34;1
FOOTFALL;02/11/2023 14:30;34;1
FOOTFALL;02/11/2023 15:00;42;1
FOOTFALL;02/11/2023 15:30;42;1
FOOTFALL;02/11/2023 16:00;42;1
FOOTFALL;02/11/2023 16:30;42;1
FOOTFALL;02/11/2023 17:00;66;1
FOOTFALL;02/11/2023 17:30;66;1
FOOTFALL;02/11/2023 18:00;84;1
FOOTFALL;02/11/2023 18:30;84;1
FOOTFALL;02/11/2023 19:00;72;1
FOOTFALL;02/11/2023 19:30;72;1
FOOTFALL;02/11/2023 20:00;34;1
FOOTFALL;02/11/2023 20:30;34;1
FOOTFALL;03/11/2023 10:00;55;1
FOOTFALL;03/11/2023 10:30;55;1
FOOTFALL;03/11/2023 11:00;77;1
FOOTFALL;03/11/2023 11:30;77;1
FOOTFALL;03/11/2023 12:00;59;1
FOOTFALL;03/11/2023 12:30;59;1
FOOTFALL;03/11/2023 13:00;52;1
FOOTFALL;03/11/2023 13:30;52;1
FOOTFALL;03/11/2023 14:00;47;1
FOOTFALL;03/11/2023 14:30;47;1
FOOTFALL;03/11/2023 15:00;58;1
FOOTFALL;03/11/2023 15:30;58;1
FOOTFALL;03/11/2023 16:00;65;1
FOOTFALL;03/11/2023 16:30;65;1
FOOTFALL;03/11/2023 17:00;89;1
FOOTFALL;03/11/2023 17:30;89;1
FOOTFALL;03/11/2023 18:00;125;1
FOOTFALL;03/11/2023 18:30;125;1
FOOTFALL;03/11/2023 19:00;137;1
FOOTFALL;03/11/2023 19:30;137;1
FOOTFALL;03/11/2023 20:00;74;1
FOOTFALL;03/11/2023 20:30;74;1
FOOTFALL;04/11/2023 10:00;85;1
FOOTFALL;04/11/2023 10:30;85;1
FOOTFALL;04/11/2023 11:00;180;1
FOOTFALL;04/11/2023 11:30;180;1
FOOTFALL;04/11/2023 12:00;251;1
FOOTFALL;04/11/2023 12:30;251;1
FOOTFALL;04/11/2023 13:00;171;1
FOOTFALL;04/11/2023 13:30;171;1
FOOTFALL;04/11/2023 14:00;103;1
FOOTFALL;04/11/2023 14:30;103;1
FOOTFALL;04/11/2023 15:00;109;1
FOOTFALL;04/11/2023 15:30;109;1
FOOTFALL;04/11/2023 16:00;152;1
FOOTFALL;04/11/2023 16:30;152;1
FOOTFALL;04/11/2023 17:00;190;1
FOOTFALL;04/11/2023 17:30;190;1
FOOTFALL;04/11/2023 18:00;248;1
FOOTFALL;04/11/2023 18:30;248;1
FOOTFALL;04/11/2023 19:00;236;1
FOOTFALL;04/11/2023 19:30;236;1
FOOTFALL;04/11/2023 20:00;162;1
FOOTFALL;04/11/2023 20:30;162;1
FOOTFALL;06/11/2023 10:00;57;1
FOOTFALL;06/11/2023 10:30;57;1
FOOTFALL;06/11/2023 11:00;64;1
FOOTFALL;06/11/2023 11:30;64;1
FOOTFALL;06/11/2023 12:00;67;1
FOOTFALL;06/11/2023 12:30;67;1
FOOTFALL;06/11/2023 13:00;52;1
FOOTFALL;06/11/2023 13:30;52;1
FOOTFALL;06/11/2023 14:00;32;1
FOOTFALL;06/11/2023 14:30;32;1
FOOTFALL;06/11/2023 15:00;29;1
FOOTFALL;06/11/2023 15:30;29;1
FOOTFALL;06/11/2023 16:00;43;1
FOOTFALL;06/11/2023 16:30;43;1
FOOTFALL;06/11/2023 17:00;63;1
FOOTFALL;06/11/2023 17:30;63;1
FOOTFALL;06/11/2023 18:00;114;1
FOOTFALL;06/11/2023 18:30;114;1
FOOTFALL;06/11/2023 19:00;73;1
FOOTFALL;06/11/2023 19:30;73;1
FOOTFALL;06/11/2023 20:00;45;1
FOOTFALL;06/11/2023 20:30;45;1
FOOTFALL;07/11/2023 10:00;58;1
FOOTFALL;07/11/2023 10:30;58;1
FOOTFALL;07/11/2023 11:00;82;1
FOOTFALL;07/11/2023 11:30;82;1
FOOTFALL;07/11/2023 12:00;84;1
FOOTFALL;07/11/2023 12:30;84;1
FOOTFALL;07/11/2023 13:00;54;1
FOOTFALL;07/11/2023 13:30;54;1
FOOTFALL;07/11/2023 14:00;39;1
FOOTFALL;07/11/2023 14:30;39;1
FOOTFALL;07/11/2023 15:00;48;1
FOOTFALL;07/11/2023 15:30;48;1
FOOTFALL;07/11/2023 16:00;60;1
FOOTFALL;07/11/2023 16:30;60;1
FOOTFALL;07/11/2023 17:00;66;1
FOOTFALL;07/11/2023 17:30;66;1
FOOTFALL;07/11/2023 18:00;94;1
FOOTFALL;07/11/2023 18:30;94;1
FOOTFALL;07/11/2023 19:00;74;1
FOOTFALL;07/11/2023 19:30;74;1
FOOTFALL;07/11/2023 20:00;59;1
FOOTFALL;07/11/2023 20:30;59;1
FOOTFALL;08/11/2023 10:00;50;1
FOOTFALL;08/11/2023 10:30;50;1
FOOTFALL;08/11/2023 11:00;70;1
FOOTFALL;08/11/2023 11:30;70;1
FOOTFALL;08/11/2023 12:00;79;1
FOOTFALL;08/11/2023 12:30;79;1
FOOTFALL;08/11/2023 13:00;48;1
FOOTFALL;08/11/2023 13:30;48;1
FOOTFALL;08/11/2023 14:00;29;1
FOOTFALL;08/11/2023 14:30;29;1
FOOTFALL;08/11/2023 15:00;41;1
FOOTFALL;08/11/2023 15:30;480;1
FOOTFALL;08/11/2023 16:00;42;1
FOOTFALL;08/11/2023 16:30;42;1
FOOTFALL;08/11/2023 17:00;71;1
FOOTFALL;08/11/2023 17:30;71;1
FOOTFALL;08/11/2023 18:00;95;1
FOOTFALL;08/11/2023 18:30;1450;1
FOOTFALL;08/11/2023 19:00;65;1
FOOTFALL;08/11/2023 19:30;65;1
FOOTFALL;08/11/2023 20:00;46;1
FOOTFALL;08/11/2023 20:30;46;1
FOOTFALL;09/11/2023 10:00;50;1
FOOTFALL;09/11/2023 10:30;50;1
FOOTFALL;09/11/2023 11:00;63;1
FOOTFALL;09/11/2023 11:30;63;1
FOOTFALL;09/11/2023 12:00;58;1
FOOTFALL;09/11/2023 12:30;58;1
FOOTFALL;09/11/2023 13:00;40;1
FOOTFALL;09/11/2023 13:30;40;1
FOOTFALL;09/11/2023 14:00;32;1
FOOTFALL;09/11/2023 14:30;32;1
FOOTFALL;09/11/2023 15:00;33;1
FOOTFALL;09/11/2023 15:30;33;1
FOOTFALL;09/11/2023 16:00;42;1
FOOTFALL;09/11/2023 16:30;42;1
FOOTFALL;09/11/2023 17:00;63;1
FOOTFALL;09/11/2023 17:30;63;1
FOOTFALL;09/11/2023 18:00;84;1
FOOTFALL;09/11/2023 18:30;84;1
FOOTFALL;09/11/2023 19:00;62;1
FOOTFALL;09/11/2023 19:30;62;1
FOOTFALL;09/11/2023 20:00;32;1
FOOTFALL;09/11/2023 20:30;32;1
FOOTFALL;10/11/2023 10:00;46;1
FOOTFALL;10/11/2023 10:30;46;1
FOOTFALL;10/11/2023 11:00;68;1
FOOTFALL;10/11/2023 11:30;68;1
FOOTFALL;10/11/2023 12:00;60;1
FOOTFALL;10/11/2023 12:30;60;1
FOOTFALL;10/11/2023 13:00;46;1
FOOTFALL;10/11/2023 13:30;46;1
FOOTFALL;10/11/2023 14:00;32;1
FOOTFALL;10/11/2023 14:30;32;1
FOOTFALL;10/11/2023 15:00;54;1
FOOTFALL;10/11/2023 15:30;54;1
FOOTFALL;10/11/2023 16:00;69;1
FOOTFALL;10/11/2023 16:30;69;1
FOOTFALL;10/11/2023 17:00;69;1
FOOTFALL;10/11/2023 17:30;69;1
FOOTFALL;10/11/2023 18:00;117;1
FOOTFALL;10/11/2023 18:30;117;1
FOOTFALL;10/11/2023 19:00;120;1
FOOTFALL;10/11/2023 19:30;120;1
FOOTFALL;10/11/2023 20:00;71;1
FOOTFALL;10/11/2023 20:30;71;1
FOOTFALL;11/11/2023 10:00;74;1
FOOTFALL;11/11/2023 10:30;74;1
FOOTFALL;11/11/2023 11:00;149;1
FOOTFALL;11/11/2023 11:30;149;1
FOOTFALL;11/11/2023 12:00;192;1
FOOTFALL;11/11/2023 12:30;192;1
FOOTFALL;11/11/2023 13:00;150;1
FOOTFALL;11/11/2023 13:30;150;1
FOOTFALL;11/11/2023 14:00;95;1
FOOTFALL;11/11/2023 14:30;95;1
